11-88,21-63,45-90,Droptail
0.6576801,0.7064496,0.6572616,0.7038848
0.6514501,0.692102,0.6514096,0.7058752
0.6524579,0.694727,0.6514578,0.7075308
0.654808,0.7066708,0.6550816,0.7056207
0.6515369,0.6814615,0.6534437,0.7028698
0.6523449,0.6963913,0.6529244,0.7041768
0.6534488,0.6886834,0.6575768,0.7025361
0.6564308,0.708883,0.6534328,0.7066095
0.6545275,0.6724182,0.6640104,0.7050871
0.6538201,0.7094967,0.6544034,0.7057764
0.6571075,0.6734241,0.6555552,0.7054198
0.6561549,0.690977,0.6529604,0.7075827
0.655796,0.696314,0.6557923,0.7056468
0.6527029,0.6722699,0.6556834,0.7046811
0.6547989,0.6759699,0.6522476,0.7021582
0.6537345,0.6898103,0.6534626,0.7076247
0.6536186,0.6950181,0.6527121,0.7063549
0.6514103,0.6853259,0.6554324,0.7081519
0.6534696,0.7013605,0.6572144,0.7082739
0.6561467,0.6700546,0.6591353,0.7045875
0.6544607,0.7090299,0.6548075,0.7046946
0.655287,0.6736343,0.6590629,0.7036557
0.6506573,0.7032289,0.657173,0.7032739
0.654696,0.6820038,0.6562004,0.706275
0.6509777,0.6887171,0.6632319,0.703064
0.6575538,0.7013353,0.651341,0.7068886
0.6572747,0.6758423,0.6545008,0.707664
0.652456,0.6586257,0.658218,0.7046778
0.6566874,0.7002075,0.6535414,0.7043149
0.6580019,0.7014881,0.6533084,0.7075359
0.6534358,0.6735263,0.6516643,0.7050826
0.6556036,0.6712553,0.653645,0.7075065
0.6555746,0.6725885,0.6525912,0.7026711
0.6586394,0.6575233,0.6557767,0.7049738
0.6543851,0.7070882,0.6583015,0.7055624
0.6524155,0.6875053,0.6523754,0.703286
0.6533936,0.6724744,0.6517675,0.7045196
0.6556331,0.6734793,0.6550836,0.7048513
0.6555221,0.6914929,0.656983,0.7036105
0.6545395,0.6728976,0.6524926,0.7070398
0.6523123,0.6886387,0.6517506,0.7036276
0.6517106,0.6733848,0.6552677,0.7047126
0.6509404,0.6571563,0.6557828,0.7081245
0.6588089,0.6740298,0.6534934,0.7074116
0.6580413,0.6914421,0.6539573,0.7061972
0.656663,0.7002203,0.6535337,0.7076352
0.6565164,0.6568266,0.6509282,0.7078952
0.6595874,0.7002683,0.6575607,0.7042373
0.6575176,0.7096305,0.656494,0.7081302
0.6588639,0.6853529,0.6601167,0.703472