30-90,21-63,41-82,Droptail
0.720894,0.764205,0.720175,0.71926
0.723495,0.753041,0.727496,0.720606
0.723522,0.758427,0.719103,0.727535
0.722933,0.757721,0.730163,0.72241
0.724672,0.74989,0.728764,0.731052
0.729065,0.753995,0.72458,0.725365
0.720828,0.755106,0.723156,0.719247
0.720894,0.758309,0.722293,0.714318
0.727156,0.756767,0.728398,0.716684
0.729718,0.754296,0.725561,0.717612
0.721626,0.755629,0.716201,0.722489
0.726764,0.744282,0.726424,0.719286
0.72862,0.749511,0.719364,0.728882
0.726398,0.752322,0.725862,0.724724
0.727509,0.756924,0.734673,0.72007
0.723718,0.756571,0.73164,0.719194
0.72475,0.746949,0.735078,0.719756
0.721796,0.75525,0.726646,0.717612
0.719521,0.7427,0.719011,0.719521
0.726358,0.747668,0.731797,0.721181
0.72798,0.757564,0.720907,0.722162
0.732189,0.753721,0.718907,0.720985
0.72798,0.744426,0.733601,0.717233
0.727796,0.74372,0.717103,0.721025
0.728973,0.761212,0.73632,0.714057
0.726816,0.76197,0.723116,0.731732
0.726973,0.752452,0.722672,0.714906
0.73028,0.750243,0.727169,0.718554
0.728855,0.745733,0.730424,0.715403
0.720711,0.743994,0.727339,0.724855
0.718488,0.755329,0.732686,0.716357
0.72007,0.757316,0.731483,0.720476
0.721848,0.763042,0.740268,0.71943
0.729248,0.754427,0.728725,0.723195
0.729195,0.744896,0.735353,0.719495
0.725535,0.76227,0.735863,0.719299
0.724633,0.761146,0.725221,0.715965
0.723652,0.759983,0.722659,0.734255
0.721051,0.762767,0.71909,0.714423
0.723522,0.757773,0.730738,0.723391
0.728516,0.76482,0.719992,0.714161
0.72913,0.748374,0.731156,0.721652
0.723378,0.754636,0.734137,0.717822
0.73015,0.755472,0.71939,0.715534
0.722345,0.755865,0.723914,0.717887
0.730869,0.749929,0.724424,0.719129
0.725182,0.74955,0.718449,0.717456
0.720332,0.752845,0.733013,0.714017
0.723888,0.753446,0.731732,0.718188
0.72628,0.755982,0.733196,0.717796